customer_id,name,email,phone_number,address,city,country,registration_date
4550,Anthony Freeman,casey78@example.org,(701)329-3213x374,"4962 Ryan Path
Port Lisaborough, KS 75553",East Heather,Samoa,2022-12-18
6866,Sophia Mcknight,christopherreynolds@example.net,(519)366-9062,"517 Autumn Forks
West Melanieburgh, CA 44902",Carloschester,Sri Lanka,2021-06-14
2699,Dr. Paul Flowers,yhill@example.net,+1-591-941-3415x86516,"8977 Baker Point
West Jesse, VI 28196",Charleneside,Iraq,2024-01-02
5003,Jason Smith,michael50@example.org,+1-774-734-1015x127,"PSC 7495, Box 5398
APO AE 71028",South Lisa,Trinidad and Tobago,2021-05-14
9154,Lindsay Oliver,frobinson@example.com,+1-729-885-4120x849,"62725 Ayers Courts
Markshire, NC 17178",Petersonstad,British Virgin Islands,2021-08-02
6704,Todd Rhodes,davidlevy@example.org,874.724.6517x00363,"292 Shannon Path
Perezchester, FM 18957",Lake Barbara,Somalia,2022-12-23
9303,Martin Davis,ycarroll@example.org,(282)664-4562x639,"PSC 3484, Box 7421
APO AP 94151",Port Matthew,Korea,2022-11-04
1164,Brandy Sheppard,josephpena@example.org,+1-416-815-8653,"4748 Savannah Ridges
South Anthony, IA 14953",New Davidview,Bahamas,2021-06-06
1213,Deborah Pierce,drivera@example.com,(477)416-5240x1161,"51360 Reid Hill
East Jonathanport, OK 25744",Kaylaland,Bahrain,2022-06-02
8976,Kelly Estrada,ybush@example.com,853.789.5081x600,"093 George Ferry
Smithtown, AL 24459",Mccoyport,Guernsey,2021-07-20
207,Wayne Kelley,amanda85@example.com,628.703.0054x563,"15295 Santiago Stravenue Suite 940
Sandersville, NY 59177",West Eugene,Lesotho,2020-06-04
4761,John Contreras,jessica17@example.org,583.788.4958,"07833 Murphy Junctions
New Robert, WV 38548",South Yvonnestad,Jamaica,2021-03-28
9085,Anthony Valentine,qhuff@example.net,001-849-241-5223x13038,"0968 Marks Place
Rebeccaberg, MH 09621",Sarafort,Gabon,2021-07-15
